App Name,Package Name,Developer,Category
AppLock,com.domobile.applockwatcher,DoMobile Lab,Tools
TikTok,com.zhiliaoapp.musically,TikTok+Inc.,Social
TikTok Wall Pictures,com.zhiliao.musically.livewallpaper,TikTok+Inc.,Tools
Likee - Formerly LIKE Video,video.like,BIGO TECHNOLOGY PTE. LTD.,Video Players & Editors
UC Browser- Free & Fast Video Downloader,com.UCMobile.intl,,
UC Mini- Download Video Status & Movies,com.uc.browser.en,,
UC Browser Turbo- Fast Download Secure AD Block,com.ucturbo,,
UC Cricket - Live Cricket Scores news & Cricinfo,com.CricChat.intl,,
SHAREit - Transfer & Share,com.lenovo.anyshare.gps,,
SHAREit Lite (Official Version),shareit.lite,,
Sports Movie Comedy& News-Best Videos in WATCHit,com.ushareit.watchit,,
BIGO LIVE - Live Stream Live Video & Live Chat,sg.bigo.live,,
BIGO LIVE Lite – Live Stream,sg.bigo.live.lite,,
Clash of Kings : The Ramadan event is on going!,com.hcg.cok.gp,,
Clash of Queens: Light or Darkness,com.elex.coq.gp,,
Clash of Kings:The West,com.hcg.ctw.gp,,
Zombie World SLG 3D : last day of survival,com.zw.zombieworld.gp,,
Heroes War: Summoners & Monsters & Gods,com.hcg.tos.gp,,
TikTok Lite - Watch Funny Videos,com.zhiliaoapp.musically.go,,
TikTok Lite,com.ss.android.ugc.trill.go,,
Vigo Lite - Download Status Videos & Share,com.ss.android.ugc.boomlite,,
TikTok Wall Picture,com.ss.android.ugc.tiktok.livewallpaper,,
Xender - Share Music&Video Photo File Status Save,cn.xender,,
VMate,com.uc.vmate,,
VMate Status 2020- Video Status& Status Downloader,com.uc.vmlite,,
AirBrush: Easy Photo Editor for the best moments,com.magicv.airbrush,,
BeautyPlus - Easy Photo Editor & Selfie Camera,com.commsource.beautyplus,,
MakeupPlus - Makeup Camera,com.meitu.makeup,,
Meitu - Status Maker Pic Filter & BeautyCam,com.mt.mtxx.mtxx,,
BeautyCam,com.meitu.meiyancamera,,
O2Cam,com.meitu.oxygen,,
AirVid Video Filters & Frames,com.meitu.airvid,,
PlusMe Camera - best photo app,com.meitu.beautyplusme,,
Meipai,com.meitu.meipaimv,,
Pomelo – Photo editor & filter by BeautyPlus,com.beautyplus.pomelo.filters.photo,,
SelfieCity,com.meitu.wheecam,,
表情工厂,com.meitu.facefactory,,
AirBrush 2Go,com.meitu.airbrush.vivo,,
美图遥控器,com.meitu.mobile.meituautodyne,,
BOXxCAM,com.meitu.boxxcam,,

